query,expanded_query,final_query,ranker,use_qe,use_prf,prf_docs,prf_terms,use_rocchio,rocchio_alpha,rocchio_beta,rocchio_gamma,rocchio_terms,rocchio_nonrel,use_ner,use_tfidf_norm,k,topk,min_score,min_score_ratio,p_at_k,r_at_k,f1_at_k,ap,rr,ndcg_at_k,num_shown,shown_doc_ids
English players,english england players,english england players darren anderton southampton jamie redknapp,bm25,True,False,5,5,True,1.0,0.75,0.15,5,5,False,n/a,10,10,,,0.8,1.0,0.888888888888889,1.0,1.0,1.0,5,9 23 39 49 35
French defender,french france defender,french france defender paris franck queudrue jonathan zebina,bm25,True,False,5,5,True,1.0,0.75,0.15,5,5,False,n/a,10,10,,,0.3,1.0,0.4615384615384615,1.0,1.0,1.0,10,18 28 52 1 53 42 16 30 5 6
French defenders,french france defenders defender,french france defenders defender paris franck queudrue jonathan zebina,bm25,True,False,5,5,True,1.0,0.75,0.15,5,5,False,n/a,10,10,,,0.3,1.0,0.4615384615384615,1.0,1.0,1.0,10,18 28 52 1 53 16 30 5 6 19
Buenos Aires midfielder,buenos aires midfielder midfield,buenos aires midfielder midfield argentina fernando redondo,bm25,True,False,5,5,True,1.0,0.75,0.15,5,5,False,n/a,10,10,,,0.1,1.0,0.18181818181818182,1.0,1.0,1.0,10,17 31 12 29 50 32 34 36 38 49
Paris France defender,paris france defender,paris france defender franck queudrue jonathan zebina distin,bm25,True,False,5,5,True,1.0,0.75,0.15,5,5,False,n/a,10,10,,,0.3,1.0,0.4615384615384615,1.0,1.0,1.0,10,18 28 52 1 53 42 16 30 5 6
"Wiltord, Sylvain",wiltord sylvain,wiltord sylvain france neuilly sur marne forward,bm25,True,False,5,5,True,1.0,0.75,0.15,5,5,False,n/a,10,10,,,0.1,1.0,0.18181818181818182,1.0,1.0,1.0,10,53 52 42 1 18 28 15 22 0 3
"Placente, Diego",placente diego,placente diego argentina capital federal defender,bm25,True,False,5,5,True,1.0,0.75,0.15,5,5,False,n/a,10,10,,,0.1,1.0,0.18181818181818182,1.0,1.0,1.0,10,12 31 17 13 16 30 5 6 18 19
Diego Placente,diego placente,diego placente argentina capital federal defender,bm25,True,False,5,5,True,1.0,0.75,0.15,5,5,False,n/a,10,10,,,0.1,1.0,0.18181818181818182,1.0,1.0,1.0,10,12 31 17 13 16 30 5 6 18 19
