query,expanded_query,final_query,ranker,use_qe,use_prf,prf_docs,prf_terms,use_rocchio,rocchio_alpha,rocchio_beta,rocchio_gamma,rocchio_terms,rocchio_nonrel,use_ner,use_tfidf_norm,k,topk,min_score,min_score_ratio,p_at_k,r_at_k,f1_at_k,ap,rr,ndcg_at_k,num_shown,shown_doc_ids
English players,english england players,english england players midfield darren anderton southampton jamie,bm25,True,True,5,5,False,1.0,0.75,0.15,5,5,False,n/a,10,10,,,0.4,1.0,0.5714285714285715,1.0,1.0,1.0,10,9 23 49 39 35 29 50 32 34 36
French defender,french france defender,french france defender paris sylvain antoine sibierski lille,bm25,True,True,5,5,False,1.0,0.75,0.15,5,5,False,n/a,10,10,,,0.3,1.0,0.4615384615384615,0.6388888888888888,0.5,0.7328286204777911,10,1 18 28 52 53 42 16 30 5 6
French defenders,french france defenders defender,french france defenders defender paris sylvain antoine sibierski lille,bm25,True,True,5,5,False,1.0,0.75,0.15,5,5,False,n/a,10,10,,,0.3,1.0,0.4615384615384615,0.6388888888888888,0.5,0.7328286204777911,10,1 18 28 52 53 16 30 5 6 19
Buenos Aires midfielder,buenos aires midfielder midfield,buenos aires midfielder midfield argentina sweden brazil fernando redondo,bm25,True,True,5,5,False,1.0,0.75,0.15,5,5,False,n/a,10,10,,,0.1,1.0,0.18181818181818182,1.0,1.0,1.0,10,17 32 34 31 40 16 43 12 58 29
Paris France defender,paris france defender,paris france defender sylvain antoine sibierski lille franck,bm25,True,True,5,5,False,1.0,0.75,0.15,5,5,False,n/a,10,10,,,0.3,1.0,0.4615384615384615,0.6388888888888888,0.5,0.7328286204777911,10,1 18 28 52 53 42 16 30 5 6
"Wiltord, Sylvain",wiltord sylvain,wiltord sylvain france distin bagnolet neuilly sur,bm25,True,True,5,5,False,1.0,0.75,0.15,5,5,False,n/a,10,10,,,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0,1.0,6,53 52 1 18 28 42
"Placente, Diego",placente diego,placente diego argentina spain capital federal tristan,bm25,True,True,5,5,False,1.0,0.75,0.15,5,5,False,n/a,10,10,,,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0,1.0,6,12 13 31 21 17 29
Diego Placente,diego placente,diego placente argentina spain capital federal tristan,bm25,True,True,5,5,False,1.0,0.75,0.15,5,5,False,n/a,10,10,,,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0,1.0,6,12 13 31 21 17 29
